2024-04-03 10:38:44.3051 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-03 10:38:44.3051 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-03 10:38:44.3051 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-03 10:38:44.3051 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-03 10:38:44.3051 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-03 10:38:44.3051 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-03 10:38:44.3051 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-03 10:38:44.4067 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-03 10:38:44.4067 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-03 10:38:44.4067 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-03 10:38:44.4067 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-03 10:38:44.4067 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-03 10:38:44.4067 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-03 10:38:44.4067 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
