2024-06-10 11:18:43.3137 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending DATA frame for stream ID 9 with length 16384 and flags NONE. 
2024-06-10 11:18:43.3137 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending DATA frame for stream ID 9 with length 16384 and flags NONE. 
2024-06-10 11:18:43.3137 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending DATA frame for stream ID 9 with length 16384 and flags NONE. 
2024-06-10 11:18:43.3231 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending DATA frame for stream ID 9 with length 16384 and flags NONE. 
2024-06-10 11:18:43.3231 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending DATA frame for stream ID 9 with length 16384 and flags NONE. 
2024-06-10 11:18:43.3231 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending DATA frame for stream ID 9 with length 16384 and flags NONE. 
2024-06-10 11:18:43.3231 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending DATA frame for stream ID 9 with length 16384 and flags NONE. 
2024-06-10 11:18:43.3231 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending DATA frame for stream ID 7 with length 16384 and flags NONE. 
2024-06-10 11:18:43.3231 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending DATA frame for stream ID 7 with length 16384 and flags NONE. 
2024-06-10 11:18:43.3231 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending DATA frame for stream ID 7 with length 16384 and flags NONE. 
2024-06-10 11:18:43.3231 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending DATA frame for stream ID 7 with length 16384 and flags NONE. 
